  Time (in sec)   Displacement       Velocity
              0              1              0
           0.25       0.915692      -0.616482
            0.5       0.727728      -0.820059
           0.75       0.524285      -0.779065
              1       0.344712      -0.647491
           1.25       0.203019      -0.481777
            1.5       0.105107      -0.298872
           1.75      0.0547093      -0.101762
              2      0.0557873       0.111657
           2.25       0.108206       0.296585
            2.5       0.196572       0.394803
           2.75       0.298393       0.407632
              3       0.395529         0.3618
           3.25       0.476362       0.280228
            3.5       0.533824       0.176453
           3.75       0.563295      0.0570351
              4       0.561199     -0.0748995
           4.25       0.526666      -0.196746
            4.5       0.466266      -0.278754
           4.75       0.391256      -0.314271
              5       0.312198      -0.313389
           5.25       0.236406      -0.290387
            5.5       0.167827      -0.257397
           5.75       0.107795      -0.223204
              6      0.0558167      -0.193749
           6.25      0.0102073      -0.172684
            6.5     -0.0313727      -0.161613
           6.75     -0.0714117      -0.160128
              7      -0.112057      -0.165963
           7.25      -0.154705      -0.175482
            7.5      -0.199759      -0.184538
           7.75      -0.246621      -0.189415
              8      -0.293892      -0.187486
           8.25      -0.339678      -0.177412
            8.5      -0.381894      -0.158959
           8.75      -0.418497      -0.132637
              9      -0.447629     -0.0993614
           9.25      -0.467685     -0.0602171
            9.5      -0.477337     -0.0163348
           9.75      -0.475551       0.030902
             10      -0.461992      0.0768229
          10.25      -0.437756        0.11552
           10.5      -0.405133       0.143642
          10.75       -0.36685       0.160998
             11      -0.325362       0.169762
          11.25      -0.282418       0.173204
           11.5      -0.238931       0.174596
          11.75      -0.195073       0.176515
             12      -0.150499       0.180476
          12.25       -0.10463       0.186844
           12.5      -0.056929       0.194958
          12.75    -0.00711937       0.203447
             13      0.0446844       0.210633
          13.25      0.0979536       0.214933
           13.5       0.151806       0.215132
          13.75       0.205113       0.210492
             14       0.256622       0.200726
          14.25       0.305052       0.185888
           14.5       0.349165       0.166245
          14.75       0.387805       0.142177
             15       0.419919       0.114102
