  Time (in sec)   Displacement       Velocity
              0              1              0
            0.5       0.733479      -0.795581
              1        0.34734      -0.619375
            1.5       0.112316      -0.298896
              2      0.0604338      0.0984606
            2.5        0.19417       0.388619
              3       0.391873       0.363263
            3.5       0.531892       0.181977
              4       0.562024     -0.0673491
            4.5       0.470223      -0.277211
              5       0.315995       -0.31727
            5.5       0.169356      -0.262487
              6      0.0550858      -0.197206
            6.5     -0.0332413      -0.162154
              7      -0.113647       -0.16401
            7.5      -0.200179      -0.182002
              8      -0.293248      -0.186178
            8.5      -0.380946      -0.159382
              9      -0.447122      -0.101012
            9.5      -0.477639     -0.0183929
             10      -0.463021      0.0756911
           10.5       -0.40645        0.14412
             11       -0.32626       0.171382
           11.5      -0.239035       0.176196
             12      -0.149999       0.181141
           12.5     -0.0563386       0.194585
             13       0.044951       0.209842
           13.5       0.151694       0.214631
             14        0.25636       0.200801
           14.5        0.34902       0.166776
             15       0.420036       0.114815
