  Time (in sec)   Displacement       Velocity
              0              1              0
          0.125       0.977296      -0.353642
           0.25       0.915473       -0.61661
          0.375       0.827936       -0.76586
            0.5       0.727809      -0.823265
          0.625       0.624585      -0.820358
           0.75       0.524187      -0.781324
          0.875       0.430109      -0.721183
              1       0.344399      -0.648489
          1.125       0.268304      -0.567939
           1.25        0.20263      -0.482053
          1.375       0.147955      -0.392123
            1.5       0.104742      -0.298705
          1.625      0.0734189      -0.201863
           1.75      0.0544316      -0.101252
          1.875      0.0482949     0.00391106
              2      0.0555671       0.112254
          2.125      0.0760514       0.213343
           2.25       0.108171       0.297094
          2.375       0.149364       0.358001
            2.5       0.196673       0.395105
          2.625       0.247234        0.41052
           2.75       0.298545       0.407734
          2.875       0.348563       0.390406
              3       0.395676       0.361747
          3.125       0.438636       0.324324
           3.25       0.476474       0.280068
          3.375       0.508428       0.230376
            3.5       0.533883       0.176216
          3.625       0.552323       0.118218
           3.75       0.563293      0.0567382
          3.875       0.566367    -0.00809928
              4       0.561168     -0.0750998
          4.125       0.547699      -0.139573
           4.25       0.526577      -0.196871
          4.375       0.498919      -0.243769
            4.5       0.466135      -0.278764
          4.625       0.429726      -0.301873
           4.75       0.391118      -0.314181
          4.875       0.351562       -0.31735
              5       0.312084      -0.313236
          5.125       0.273481      -0.303646
           5.25       0.236333       -0.29021
          5.375       0.201029      -0.274341
            5.5       0.167799      -0.257229
          5.625       0.136732      -0.239866
           5.75       0.107808      -0.223068
          5.875      0.0809137      -0.207492
              6      0.0558621      -0.193659
          6.125      0.0324097      -0.181957
           6.25      0.0102725      -0.172649
          6.375     -0.0108585      -0.165871
            6.5     -0.0313015      -0.161633
          6.625     -0.0513681      -0.159819
           6.75     -0.0713478      -0.160194
          6.875      -0.091494      -0.162418
              7      -0.112011      -0.166058
          7.125      -0.133047      -0.170622
           7.25      -0.154684      -0.175584
          7.375      -0.176938      -0.180418
            7.5      -0.199762      -0.184627
          7.625       -0.22305      -0.187769
           7.75      -0.246644      -0.189474
          7.875      -0.270346      -0.189455
              8      -0.293927      -0.187508
          8.125      -0.317138      -0.183507
           8.25      -0.339716      -0.177398
          8.375      -0.361399      -0.169184
            8.5      -0.381926      -0.158914
          8.625      -0.401045      -0.146673
           8.75      -0.418517       -0.13257
          8.875      -0.434115      -0.116728
              9      -0.447632     -0.0992812
          9.125      -0.458875     -0.0803692
           9.25      -0.467669     -0.0601328
          9.375      -0.473858     -0.0387137
            9.5      -0.477304     -0.0162545
          9.625      -0.477885     0.00709549
           9.75      -0.475508      0.0309431
          9.875      -0.470162      0.0544639
             10       -0.46194      0.0768362
         10.125      -0.451031      0.0973572
          10.25      -0.437701       0.115501
         10.375      -0.422269        0.13095
           10.5      -0.405081       0.143594
         10.625      -0.386484        0.15351
          10.75      -0.366808       0.160928
         10.875      -0.346343       0.166184
             11      -0.325335       0.169683
         11.125      -0.303978       0.171855
          11.25      -0.282409       0.173128
         11.375      -0.260716       0.173904
           11.5      -0.238939       0.174536
         11.625      -0.217076       0.175319
          11.75      -0.195093       0.176478
         11.875      -0.172934       0.178167
             12      -0.150526       0.180465
         12.125      -0.127792       0.183381
          12.25      -0.104658       0.186856
         12.375     -0.0810593       0.190778
           12.5      -0.056951       0.194987
         12.625     -0.0323084       0.199292
          12.75    -0.00713267       0.203483
         12.875      0.0185485       0.207344
             13      0.0446808       0.210667
         13.125      0.0711848        0.21326
          13.25      0.0979585       0.214958
         13.375       0.124881       0.215621
           13.5       0.151816       0.215143
         13.625       0.178616       0.213448
          13.75       0.205125       0.210489
         13.875       0.231185       0.206244
             14       0.256633       0.200711
         14.125       0.281309       0.193908
          14.25       0.305058       0.185864
         14.375       0.327725       0.176618
           14.5       0.349164       0.166216
         14.625       0.369233       0.154708
          14.75       0.387797       0.142146
         14.875       0.404728       0.128583
             15       0.419903       0.114072
