  Time (in sec)   Displacement       Velocity
              0              1              0
         0.0625         0.9942      -0.184127
          0.125       0.977291      -0.353647
         0.1875       0.950493      -0.499417
           0.25       0.915461      -0.616667
         0.3125       0.874018      -0.704763
          0.375       0.827926      -0.765988
         0.4375        0.77875      -0.804139
            0.5       0.727801      -0.823416
         0.5625       0.676133      -0.827749
          0.625       0.624572      -0.820489
         0.6875       0.573756      -0.804344
           0.75        0.52417       -0.78142
         0.8125       0.476185       -0.75332
          0.875       0.430087      -0.721247
         0.9375       0.386093      -0.686096
              1       0.344375      -0.648528
         1.0625       0.305067       -0.60903
          1.125       0.268279      -0.567959
         1.1875       0.234099      -0.525573
           1.25       0.202605      -0.482059
         1.3125       0.173863      -0.437545
          1.375       0.147931      -0.392117
         1.4375       0.124866      -0.345825
            1.5        0.10472      -0.298689
         1.5625      0.0875475      -0.250703
          1.625      0.0734008      -0.201838
         1.6875      0.0623372      -0.152037
           1.75      0.0544174      -0.101218
         1.8125      0.0497084     -0.0492704
          1.875      0.0482852     0.00395407
         1.9375       0.050227      0.0582696
              2      0.0555629       0.112297
         2.0625      0.0642253        0.16447
          2.125      0.0760534       0.213382
         2.1875      0.0908059       0.257882
           2.25       0.108179       0.297125
         2.3125       0.127826       0.330582
          2.375       0.149376       0.358022
         2.4375       0.172453       0.379464
            2.5       0.196688       0.395118
         2.5625        0.22173        0.40533
          2.625        0.24725       0.410525
         2.6875        0.27295       0.411169
           2.75       0.298561       0.407732
         2.8125       0.323841       0.400668
          2.875       0.348578       0.390399
         2.9375       0.372583       0.377308
              3        0.39569       0.361736
         3.0625       0.417754       0.343984
          3.125       0.438648        0.32431
         3.1875       0.458258       0.302936
           3.25       0.476483       0.280052
         3.3125       0.493236       0.255815
          3.375       0.508435       0.230358
         3.4375       0.522008       0.203789
            3.5       0.533887       0.176196
         3.5625       0.544012       0.147648
          3.625       0.552324       0.118196
         3.6875       0.558769      0.0878781
           3.75       0.563292      0.0567151
         3.8125       0.565841      0.0247148
          3.875       0.566363    -0.00812631
         3.9375       0.564811     -0.0416143
              4       0.561161     -0.0751242
         4.0625       0.555434      -0.107991
          4.125       0.547689      -0.139593
         4.1875       0.538023      -0.169377
           4.25       0.526564      -0.196884
         4.3125       0.513467      -0.221764
          4.375       0.498903      -0.243776
         4.4375       0.483058      -0.262787
            4.5       0.466118      -0.278764
         4.5625       0.448274      -0.291752
          4.625       0.429709      -0.301867
         4.6875       0.410598      -0.309273
           4.75       0.391103       -0.31417
         4.8125       0.371374       -0.31678
          4.875       0.351548      -0.317335
         4.9375       0.331745      -0.316072
              5       0.312072       -0.31322
         5.0625       0.292621      -0.309001
          5.125       0.273471      -0.303628
         5.1875       0.254688      -0.297297
           5.25       0.236325      -0.290192
         5.3125       0.218426      -0.282482
          5.375       0.201024      -0.274323
         5.4375       0.184142      -0.265856
            5.5       0.167796      -0.257212
         5.5625       0.151992      -0.248508
          5.625       0.136731      -0.239851
         5.6875       0.122008      -0.231337
           5.75       0.107809      -0.223054
         5.8125      0.0941193      -0.215079
          5.875      0.0809165      -0.207481
         5.9375      0.0681751       -0.20032
              6      0.0558662       -0.19365
         6.0625      0.0439576      -0.187515
          6.125      0.0324149      -0.181951
         6.1875      0.0212012      -0.176988
           6.25      0.0102785      -0.172646
         6.3125   -0.000392721      -0.168938
          6.375     -0.0108522       -0.16587
         6.4375     -0.0211398      -0.163439
            6.5     -0.0312951      -0.161634
         6.5625     -0.0413567      -0.160437
          6.625     -0.0513619      -0.159822
         6.6875      -0.061346      -0.159757
           6.75     -0.0713421        -0.1602
         6.8125     -0.0813806      -0.161107
          6.875      -0.091489      -0.162425
         6.9375      -0.101691      -0.164098
              7      -0.112007      -0.166066
         7.0625      -0.122454      -0.168266
          7.125      -0.133044      -0.170631
         7.1875      -0.143785      -0.173095
           7.25      -0.154682      -0.175593
         7.3125      -0.165734      -0.178058
          7.375      -0.176937      -0.180426
         7.4375      -0.188284      -0.182638
            7.5      -0.199762      -0.184634
         7.5625      -0.211357      -0.186363
          7.625      -0.223051      -0.187775
         7.6875      -0.234822      -0.188827
           7.75      -0.246646      -0.189479
         7.8125      -0.258498      -0.189699
          7.875      -0.270349      -0.189459
         7.9375       -0.28217      -0.188735
              8       -0.29393       -0.18751
         8.0625      -0.305598      -0.185771
          8.125      -0.317141      -0.183508
         8.1875      -0.328525      -0.180717
           8.25      -0.339719      -0.177397
         8.3125      -0.350689       -0.17355
          8.375      -0.361402      -0.169182
         8.4375      -0.371826      -0.164298
            8.5      -0.381929      -0.158911
         8.5625       -0.39168       -0.15303
          8.625      -0.401048      -0.146669
         8.6875      -0.410004      -0.139842
           8.75      -0.418519      -0.132565
         8.8125      -0.426565      -0.124852
          8.875      -0.434116      -0.116722
         8.9375      -0.441147      -0.108191
              9      -0.447632     -0.0992753
         9.0625      -0.453549     -0.0899936
          9.125      -0.458874     -0.0803632
         9.1875      -0.463587     -0.0704016
           9.25      -0.467668     -0.0601267
         9.3125      -0.471097     -0.0495561
          9.375      -0.473857     -0.0387077
         9.4375       -0.47593     -0.0275993
            9.5      -0.477301     -0.0162489
         9.5625      -0.477956    -0.00467439
          9.625      -0.477881     0.00710283
         9.6875      -0.477066      0.0190131
           9.75      -0.475504      0.0309494
         9.8125      -0.473199      0.0428032
          9.875      -0.470158      0.0544687
         9.9375      -0.466396       0.065845
             10      -0.461935      0.0768392
        10.0625      -0.456801      0.0873677
         10.125      -0.451025      0.0973583
        10.1875      -0.444644       0.106751
          10.25      -0.437695         0.1155
        10.3125       -0.43022       0.123572
         10.375      -0.422263       0.130947
        10.4375      -0.413867       0.137618
           10.5      -0.405075       0.143589
        10.5625      -0.395932       0.148876
         10.625      -0.386479       0.153504
        10.6875      -0.376757       0.157506
          10.75      -0.366803       0.160921
        10.8125      -0.356653       0.163795
         10.875      -0.346339       0.166177
        10.9375       -0.33589       0.168119
             11      -0.325333       0.169675
        11.0625      -0.314688       0.170899
         11.125      -0.303976       0.171847
        11.1875      -0.293212        0.17257
          11.25      -0.282408       0.173121
        11.3125      -0.271574       0.173548
         11.375      -0.260716       0.173897
        11.4375      -0.249838       0.174212
           11.5       -0.23894        0.17453
        11.5625      -0.228021       0.174887
         11.625      -0.217078       0.175314
        11.6875      -0.206105       0.175836
          11.75      -0.195096       0.176474
        11.8125      -0.184043       0.177247
         11.875      -0.172937       0.178165
        11.9375      -0.161769       0.179236
             12      -0.150529       0.180464
        12.0625      -0.139207       0.181847
         12.125      -0.127795       0.183381
        12.1875      -0.116282       0.185055
          12.25       -0.10466       0.186858
        12.3125     -0.0929224       0.188772
         12.375     -0.0810618        0.19078
        12.4375     -0.0690734       0.192861
           12.5     -0.0569532        0.19499
        12.5625     -0.0446991       0.197144
         12.625     -0.0323103       0.199296
        12.6875     -0.0197877       0.201419
          12.75    -0.00713406       0.203486
        12.8125     0.00564638       0.205472
         12.875      0.0185476       0.207347
        12.9375       0.031562       0.209089
             13      0.0446803        0.21067
        13.0625       0.057892       0.212069
         13.125      0.0711847       0.213263
        13.1875      0.0845452       0.214233
          13.25      0.0979588        0.21496
        13.3125        0.11141       0.215428
         13.375       0.124882       0.215623
        13.4375       0.138357       0.215532
           13.5       0.151817       0.215144
        13.5625       0.165243       0.214452
         13.625       0.178617       0.213449
        13.6875       0.191918       0.212129
          13.75       0.205126       0.210489
        13.8125       0.218222       0.208528
         13.875       0.231186       0.206243
        13.9375       0.243996       0.203637
             14       0.256634        0.20071
        14.0625       0.269078       0.197466
         14.125        0.28131       0.193907
        14.1875        0.29331       0.190037
          14.25       0.305059       0.185862
        14.3125       0.316537       0.181386
         14.375       0.327726       0.176616
        14.4375       0.338608       0.171556
           14.5       0.349164       0.166214
        14.5625       0.359378       0.160595
         14.625       0.369233       0.154706
        14.6875       0.378711       0.148553
          14.75       0.387797       0.142143
        14.8125       0.396474       0.135484
         14.875       0.404727        0.12858
        14.9375       0.412542        0.12144
             15       0.419902        0.11407
